line_no,service_type,variant,note,from_start_time,to_start_time,headway_minutes
02,daily,ΚΝΩΣΣΟΣ,,12:40,12:55,15
02,daily,ΚΝΩΣΣΟΣ,,12:55,13:10,15
02,daily,ΚΝΩΣΣΟΣ,,13:10,16:20,190
02,daily,ΚΝΩΣΣΟΣ,,16:20,16:40,20
02,daily,ΚΝΩΣΣΟΣ,,16:40,17:00,20
02,daily,ΚΝΩΣΣΟΣ,,17:00,17:20,20
02,daily,ΚΝΩΣΣΟΣ,,17:20,17:40,20
02,daily,ΚΝΩΣΣΟΣ,,17:40,18:00,20
02,daily,ΚΝΩΣΣΟΣ,,18:00,18:00,0
02,daily,ΚΝΩΣΣΟΣ,,18:00,18:20,20
02,daily,ΚΝΩΣΣΟΣ,,18:20,18:30,10
02,daily,ΚΝΩΣΣΟΣ,,18:30,18:40,10
02,daily,ΚΝΩΣΣΟΣ,,18:40,19:00,20
02,daily,ΚΝΩΣΣΟΣ,,19:00,19:00,0
02,daily,ΚΝΩΣΣΟΣ,,19:00,19:20,20
02,daily,ΚΝΩΣΣΟΣ,,19:20,19:30,10
02,daily,ΚΝΩΣΣΟΣ,,19:30,19:40,10
02,daily,ΚΝΩΣΣΟΣ,,19:40,20:00,20
02,daily,ΚΝΩΣΣΟΣ,,20:00,20:00,0
02,daily,ΚΝΩΣΣΟΣ,,20:00,20:20,20
02,daily,ΚΝΩΣΣΟΣ,,20:20,20:30,10
02,daily,ΚΝΩΣΣΟΣ,,20:30,21:00,30
02,daily,ΚΝΩΣΣΟΣ,,21:00,21:00,0
02,daily,ΚΝΩΣΣΟΣ,,21:00,21:30,30
02,daily,ΚΝΩΣΣΟΣ,,21:30,22:00,30
02,daily,ΚΝΩΣΣΟΣ,,22:00,22:00,0
02,daily,ΚΝΩΣΣΟΣ,,22:00,22:25,25
02,daily,ΚΝΩΣΣΟΣ,,22:25,22:25,0
02,daily,ΚΝΩΣΣΟΣ,,22:25,22:50,25
02,daily,ΚΝΩΣΣΟΣ,,22:50,22:50,0
02,daily,ΚΝΩΣΣΟΣ,,22:50,23:15,25
02,daily,ΚΝΩΣΣΟΣ,,23:15,23:15,0
02,daily,ΣΚΑΛΑΝΙ,,07:05,07:05,0
02,daily,ΣΚΑΛΑΝΙ,,07:05,07:30,25
02,daily,ΣΚΑΛΑΝΙ,,07:30,09:50,140
02,daily,ΣΚΑΛΑΝΙ,,09:50,09:50,0
02,daily,ΣΚΑΛΑΝΙ,,09:50,10:00,10
02,daily,ΣΚΑΛΑΝΙ,,10:00,13:20,200
02,daily,ΣΚΑΛΑΝΙ,,13:20,14:20,60
02,daily,ΣΚΑΛΑΝΙ,,14:20,14:20,0
02,daily,ΣΚΑΛΑΝΙ,,14:20,16:00,100
02,daily,ΣΚΑΛΑΝΙ,,16:00,16:05,5
02,unknown,ΣΚΑΛΑΝΙ,,07:30,10:00,150
02,unknown,ΣΚΑΛΑΝΙ,,10:00,13:20,200
02,unknown,ΣΚΑΛΑΝΙ,,13:20,14:20,60
02,unknown,ΣΚΑΛΑΝΙ,,14:20,14:20,0
02,unknown,ΣΚΑΛΑΝΙ,,14:20,16:00,100
02,unknown,ΣΚΑΛΑΝΙ,,16:00,16:05,5
02,unknown,ΚΝΩΣΣΟΣ,,05:50,05:50,0
02,unknown,ΚΝΩΣΣΟΣ,,05:50,06:20,30
02,unknown,ΚΝΩΣΣΟΣ,,06:20,06:30,10
02,unknown,ΚΝΩΣΣΟΣ,,06:30,07:00,30
02,unknown,ΚΝΩΣΣΟΣ,,07:00,07:00,0
02,unknown,ΚΝΩΣΣΟΣ,,07:00,07:20,20
02,unknown,ΚΝΩΣΣΟΣ,,07:20,07:30,10
02,unknown,ΚΝΩΣΣΟΣ,,07:30,08:00,30
02,unknown,ΚΝΩΣΣΟΣ,,08:00,08:00,0
02,unknown,ΚΝΩΣΣΟΣ,,08:00,08:20,20
02,unknown,ΚΝΩΣΣΟΣ,,08:20,08:30,10
02,unknown,ΚΝΩΣΣΟΣ,,08:30,08:40,10
02,unknown,ΚΝΩΣΣΟΣ,,08:40,09:00,20
02,unknown,ΚΝΩΣΣΟΣ,,09:00,09:00,0
02,unknown,ΚΝΩΣΣΟΣ,,09:00,09:20,20
02,unknown,ΚΝΩΣΣΟΣ,,09:20,09:30,10
02,unknown,ΚΝΩΣΣΟΣ,,09:30,09:40,10
02,unknown,ΚΝΩΣΣΟΣ,,09:40,10:00,20
02,unknown,ΚΝΩΣΣΟΣ,,10:00,10:20,20
02,unknown,ΚΝΩΣΣΟΣ,,10:20,10:30,10
02,unknown,ΚΝΩΣΣΟΣ,,10:30,10:40,10
02,unknown,ΚΝΩΣΣΟΣ,,10:40,11:00,20
02,unknown,ΚΝΩΣΣΟΣ,,11:00,11:00,0
02,unknown,ΚΝΩΣΣΟΣ,,11:00,11:20,20
02,unknown,ΚΝΩΣΣΟΣ,,11:20,11:30,10
02,unknown,ΚΝΩΣΣΟΣ,,11:30,11:40,10
02,unknown,ΚΝΩΣΣΟΣ,,11:40,12:00,20
02,unknown,ΚΝΩΣΣΟΣ,,12:00,12:00,0
02,unknown,ΚΝΩΣΣΟΣ,,12:00,12:20,20
02,unknown,ΚΝΩΣΣΟΣ,,12:20,12:30,10
02,unknown,ΚΝΩΣΣΟΣ,,12:30,12:40,10
02,unknown,ΚΝΩΣΣΟΣ,,12:40,13:00,20
02,unknown,ΚΝΩΣΣΟΣ,,13:00,13:00,0
02,unknown,ΚΝΩΣΣΟΣ,,13:00,13:20,20
02,unknown,ΚΝΩΣΣΟΣ,,13:20,13:25,5
02,unknown,ΚΝΩΣΣΟΣ,,13:25,13:30,5
02,unknown,ΚΝΩΣΣΟΣ,,13:30,13:40,10
02,unknown,ΚΝΩΣΣΟΣ,,13:40,13:40,0
02,unknown,ΚΝΩΣΣΟΣ,,13:40,13:55,15
02,unknown,ΚΝΩΣΣΟΣ,,13:55,14:00,5
02,unknown,ΚΝΩΣΣΟΣ,,14:00,14:00,0
02,unknown,ΚΝΩΣΣΟΣ,,14:00,14:10,10
02,unknown,ΚΝΩΣΣΟΣ,,14:10,14:20,10
02,unknown,ΚΝΩΣΣΟΣ,,14:20,14:25,5
02,unknown,ΚΝΩΣΣΟΣ,,14:25,14:30,5
02,unknown,ΚΝΩΣΣΟΣ,,14:30,14:40,10
02,unknown,ΚΝΩΣΣΟΣ,,14:40,14:40,0
02,unknown,ΚΝΩΣΣΟΣ,,14:40,15:00,20
02,unknown,ΚΝΩΣΣΟΣ,,15:00,15:00,0
02,unknown,ΚΝΩΣΣΟΣ,,15:00,15:00,0
02,unknown,ΚΝΩΣΣΟΣ,,15:00,15:20,20
02,unknown,ΚΝΩΣΣΟΣ,,15:20,15:20,0
02,unknown,ΚΝΩΣΣΟΣ,,15:20,15:30,10
02,unknown,ΚΝΩΣΣΟΣ,,15:30,15:40,10
02,unknown,ΚΝΩΣΣΟΣ,,15:40,15:40,0
02,unknown,ΚΝΩΣΣΟΣ,,15:40,16:00,20
02,unknown,ΚΝΩΣΣΟΣ,,16:00,16:00,0
02,unknown,ΚΝΩΣΣΟΣ,,16:00,16:20,20
02,unknown,ΚΝΩΣΣΟΣ,,16:20,16:30,10
02,unknown,ΚΝΩΣΣΟΣ,,16:30,16:40,10
02,unknown,ΚΝΩΣΣΟΣ,,16:40,17:00,20
02,unknown,ΚΝΩΣΣΟΣ,,17:00,17:00,0
02,unknown,ΚΝΩΣΣΟΣ,,17:00,17:20,20
02,unknown,ΚΝΩΣΣΟΣ,,17:20,17:30,10
02,unknown,ΚΝΩΣΣΟΣ,,17:30,17:40,10
02,unknown,ΚΝΩΣΣΟΣ,,17:40,18:00,20
02,unknown,ΚΝΩΣΣΟΣ,,18:00,18:20,20
02,unknown,ΚΝΩΣΣΟΣ,,18:20,18:40,20
02,unknown,ΚΝΩΣΣΟΣ,,18:40,19:00,20
02,unknown,ΚΝΩΣΣΟΣ,,19:00,19:20,20
02,unknown,ΚΝΩΣΣΟΣ,,19:20,19:40,20
02,unknown,ΚΝΩΣΣΟΣ,,19:40,20:00,20
02,unknown,ΚΝΩΣΣΟΣ,,20:00,20:20,20
02,unknown,ΚΝΩΣΣΟΣ,,20:20,21:05,45
02,unknown,ΚΝΩΣΣΟΣ,,21:05,22:05,60
02,unknown,ΣΚΑΛΑΝΙ,Σροφή Κάτω,18:10,21:20,190
02,unknown,ΚΝΩΣΣΟΣ / ΛΙΜΑΝΙ,,22:25,22:50,25
02,unknown,ΚΝΩΣΣΟΣ / ΛΙΜΑΝΙ,,22:50,23:15,25
02,daily,ΣΚΑΛΑΝΙ,Σροφή Κάτω,18:10,21:20,190
02,daily,KNOSSOS,,05:50,06:20,30
02,daily,KNOSSOS,,06:20,07:00,40
02,daily,KNOSSOS,,07:00,07:20,20
02,daily,KNOSSOS,,07:20,07:55,35
02,daily,KNOSSOS,,07:55,08:10,15
02,daily,KNOSSOS,,08:10,08:25,15
02,daily,KNOSSOS,,08:25,08:40,15
02,daily,KNOSSOS,,08:40,09:00,20
02,daily,KNOSSOS,,09:00,09:20,20
02,daily,KNOSSOS,,09:20,09:40,20
02,daily,KNOSSOS,,09:40,10:00,20
02,daily,KNOSSOS,,10:00,10:20,20
02,daily,KNOSSOS,,10:20,10:40,20
02,daily,KNOSSOS,,10:40,11:00,20
02,daily,KNOSSOS,,11:00,11:20,20
02,daily,KNOSSOS,,11:20,11:40,20
02,daily,KNOSSOS,,11:40,11:55,15
02,daily,KNOSSOS,,11:55,12:10,15
02,daily,KNOSSOS,,12:10,12:25,15
02,daily,KNOSSOS,,12:25,12:40,15
02,daily,KNOSSOS,,12:40,12:55,15
02,daily,KNOSSOS,,12:55,13:10,15
02,daily,SKALANI,,07:05,07:05,0
02,daily,SKALANI,,07:05,09:50,165
02,daily,SKALANI,,09:50,09:50,0
02,daily,SKALANI,,09:50,13:20,210
02,daily,SKALANI,,13:20,14:20,60
02,daily,SKALANI,,14:20,16:05,105
02,unknown,SKALANI,,13:20,14:20,60
02,unknown,SKALANI,,14:20,16:05,105
02,unknown,KNOSSOS,,13:25,13:40,15
02,unknown,KNOSSOS,,13:40,13:55,15
02,unknown,KNOSSOS,,13:55,14:10,15
02,unknown,KNOSSOS,,14:10,14:25,15
02,unknown,KNOSSOS,,14:25,14:40,15
02,unknown,KNOSSOS,,14:40,15:00,20
02,unknown,KNOSSOS,,15:00,15:20,20
02,unknown,KNOSSOS,,15:20,15:40,20
02,unknown,KNOSSOS,,15:40,16:00,20
02,unknown,KNOSSOS,,16:00,16:20,20
02,unknown,KNOSSOS,,16:20,16:40,20
02,unknown,KNOSSOS,,16:40,17:00,20
02,unknown,KNOSSOS,,17:00,17:20,20
02,unknown,KNOSSOS,,17:20,17:40,20
02,unknown,KNOSSOS,,17:40,18:00,20
02,unknown,KNOSSOS,,18:00,18:20,20
02,unknown,KNOSSOS,,18:20,18:40,20
02,unknown,KNOSSOS,,18:40,19:00,20
02,unknown,KNOSSOS,,19:00,19:20,20
02,unknown,KNOSSOS,,19:20,19:40,20
02,unknown,KNOSSOS,,19:40,20:00,20
02,unknown,KNOSSOS,,20:00,20:20,20
02,unknown,KNOSSOS,,20:20,21:05,45
02,unknown,KNOSSOS,,21:05,22:05,60
02,unknown,KNOSSOS,,22:05,22:25,20
02,unknown,KNOSSOS,,22:25,22:50,25
02,unknown,KNOSSOS,,22:50,23:15,25
02,unknown,SKALANI,Suction Down,18:10,21:20,190
02,daily,SKALANI,Suction Down,18:10,21:20,190
23,daily,ΝΕΟ ΚΟΙΜΗΤΗΡΙΟ.,,10:00,10:00,0
03,daily,ΦΟΡΤΕΤΣΑ,,06:40,06:40,0
03,daily,ΦΟΡΤΕΤΣΑ,,06:40,06:45,5
03,daily,ΦΟΡΤΕΤΣΑ,,06:45,07:40,55
03,daily,ΦΟΡΤΕΤΣΑ,,07:40,07:40,0
03,daily,ΦΟΡΤΕΤΣΑ,,07:40,08:30,50
03,daily,ΦΟΡΤΕΤΣΑ,,08:30,08:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,08:30,08:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,08:45,09:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,09:30,09:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,09:30,10:30,60
03,daily,ΦΟΡΤΕΤΣΑ,,10:30,10:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,10:30,10:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,10:45,11:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,11:30,11:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,11:30,12:30,60
03,daily,ΦΟΡΤΕΤΣΑ,,12:30,12:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,12:30,12:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,12:45,13:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,13:30,13:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,13:30,14:30,60
03,daily,ΦΟΡΤΕΤΣΑ,,14:30,14:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,14:30,14:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,14:45,15:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,15:30,15:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,15:30,16:30,60
03,daily,ΦΟΡΤΕΤΣΑ,,16:30,16:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,16:30,16:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,16:45,17:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,17:30,17:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,17:30,18:30,60
03,daily,ΦΟΡΤΕΤΣΑ,,18:30,18:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,18:30,18:45,15
03,daily,ΦΟΡΤΕΤΣΑ,,18:45,19:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,19:30,19:30,0
03,daily,ΦΟΡΤΕΤΣΑ,,19:30,20:40,70
03,daily,ΦΟΡΤΕΤΣΑ,,20:40,20:40,0
03,daily,ΦΟΡΤΕΤΣΑ,,20:40,20:45,5
03,daily,ΦΟΡΤΕΤΣΑ,,20:45,21:30,45
03,daily,ΦΟΡΤΕΤΣΑ,,21:30,21:45,15
06,daily,ΑΜΜΟΥΔΑΡΑ,,05:55,06:28,33
06,daily,ΑΜΜΟΥΔΑΡΑ,,06:28,06:57,29
06,daily,ΑΜΜΟΥΔΑΡΑ,,06:57,07:20,23
06,daily,ΑΜΜΟΥΔΑΡΑ,,07:20,07:40,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,07:40,08:00,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,08:00,08:20,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,08:20,08:40,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,08:40,09:00,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,09:00,09:30,30
