code,name,latitude,longitude,lines,routes
0216,AGIOU MINA,35.3374924,25.13024,05;06;10;11;12;15;17;19;20;31;50;91;92;93,1008;1035;1036;1037;1061;1110;20031;20043;20075;20083;20093;20095;20100;21009;21013;21015;21016;21018;21022;21029;21033;21034;23029;29310;29923;30065;30066;30067;30073;31006;31028;33032
2015,AGIOU NEKTARIOU,35.3120935,25.0912522,11;21;50,1027;20093;21013;21015;21016;29310;29923;30098
0921,AGIOU NEKTARIOU & FILIKIS ETAIRIAS AG. AIK,35.3318267,25.1509458,16,20090
1259,AGIOU NIKOLAOU,35.2542678,25.1322689,20,31031;31032
1251,AGIOU PANTELEIMONA,35.2583835,25.1317047,09;50,0081;21031
0724,AGIOU SPYRIDONOS,35.3222904,25.0611901,10;50,10088;20083;20095;21033;21034
0725,AGIOU SPYRIDONOS,35.3222056,25.0613524,01;20,30083;30095;31033;31034
1255,AGIOU SYLLA 1,35.243642,25.1173491,09;20,21031;31031;31032
1260,AGIOU VLASSI,35.2553642,25.133129,09;50,0081;21031
1252,AGIOU VLASSI,35.2555272,25.1332291,20,31031;31032
1269,AGLAOPIS,35.287067,25.1431137,20;50,0081;0082;31031;31032
1508,ALKMAIONOS & ANTIEON,35.305243,25.1417848,20,30073;30108;31007
1507,ALKMAIONOS 17,35.3044538,25.1402336,20,30073;30108;31007
9910,AMAXOSTASIO,35.331846771485196,25.172616548543093,17,20052
0309,AMNISSOS - PARALIA AMNISSOU.,35.3304237,25.2079585,07,20064;21012;30096
0311,AMNISSOS - PARALIA AMNISSOU.,35.330603,25.2080875,12;19,20100;30066
0307,AMNISSOS - PARALIA KARTEROU - KARTEROS BEACH SPORTS CENTER,35.3277463,25.1998195,07,20064;21012;30096
0313,AMNISSOS - PARALIA KARTEROU.,35.3277856,25.1994928,12;19,20100;30066
0320,ANAGENNISEOS,35.3353265,25.1651102,07,20064;21012;30096
0319,ANAGENNISEOS,35.335553,25.1652015,12;19,20100;30066
1235,ANALIPSI,35.3360621,25.1389786,01;05;07;14;17;20;50,0032;0062;0091;0932;1008;1061;1110;20033;20056;20064;20065;20200;21012;29124;30051;30075;30083;30090;30094;30095;30096;30107;30108;31001;31002;31003;31007;31009;31010;31013;31015;31018;31022;31025;31026;31028;31029;31031;31032;31033;31034;33029;39310;9944
0634,ANALIPSI M,35.3360232,25.1387722,16,20090
1402,ANDREA PAPANDREOU & ROLEN,35.3311627,25.133658,04,20073;21006
1406,ANDREA PAPANDREOU 126,35.3270773,25.1266567,04;21,1027;20073;21006
1038,ANDREA PAPANDREOU 175,35.3358191,25.0756248,01;20;50,10088;31009;31010
1027,ANDREA PAPANDREOU 230,35.335918,25.0730204,01;20;50,10088;31009;31010
